tripId,UnixTimeMillis,LatitudeDegrees_bl,LongitudeDegrees_bl,LatitudeDegrees_wls,LongitudeDegrees_wls,LatitudeDegrees_wls_igst,LongitudeDegrees_wls_igst,LatitudeDegrees_kf,LongitudeDegrees_kf,LatitudeDegrees_kf_igst,LongitudeDegrees_kf_igst,XEcefMeters_bl,YEcefMeters_bl,ZEcefMeters_bl,XEcefMeters_wls,YEcefMeters_wls,ZEcefMeters_wls,XEcefMeters_wls_igst,YEcefMeters_wls_igst,ZEcefMeters_wls_igst,XEcefMeters_kf,YEcefMeters_kf,ZEcefMeters_kf,XEcefMeters_kf_igst,YEcefMeters_kf_igst,ZEcefMeters_kf_igst
2021-01-04-US-SFO-1/GooglePixel4,1609797013437,37.44438728865839,-122.232743803427,37.44440010656595,-122.23273786673573,37.44440010656595,-122.23273786673573,37.44439159071256,-122.2327080342922,37.44439159071256,-122.2327080342922,-2704227.539327394,-4288802.909925235,3856677.311131395,-2704228.067005509,-4288804.731776674,3856680.498627006,-2704228.067005509,-4288804.731776674,3856680.498627006,-2704220.0794433304,-4288797.013379726,3856671.046006425,-2704220.0794433304,-4288797.013379726,3856671.046006425
2021-01-04-US-SFO-1/GooglePixel4,1609797014437,37.444394775993906,-122.23271621156844,37.444385023627774,-122.23272450618038,37.444385023627774,-122.23272450618038,37.44439158406636,-122.23270801371895,37.44439158406636,-122.23270801371895,-2704224.018982009,-4288801.90463218,3856676.2687484557,-2704224.891797783,-4288801.912703256,3856675.2671748893,-2704224.891797783,-4288801.912703256,3856675.2671748893,-2704220.1773873796,-4288797.172128869,3856671.1879144497,-2704220.1773873796,-4288797.172128869,3856671.1879144497
2021-01-04-US-SFO-1/GooglePixel4,1609797015437,37.444424677313634,-122.23273088960119,37.444424652680055,-122.23272999805718,37.444424652680055,-122.23272999805718,37.444391792844996,-122.23270825179405,37.444391792844996,-122.23270825179405,-2704225.6600215207,-4288802.071986164,3856681.2273616125,-2704225.8317020237,-4288802.492183747,3856681.566230834,-2704225.8317020237,-4288802.492183747,3856681.566230834,-2704220.1620355044,-4288797.108281649,3856671.1694711912,-2704220.1620355044,-4288797.108281649,3856671.1694711912
2021-01-04-US-SFO-1/GooglePixel4,1609797016437,37.444403799289674,-122.23271562948385,37.44439384810978,-122.232728587142,37.44439384810978,-122.232728587142,37.444391702116405,-122.23270834756991,37.444391702116405,-122.23270834756991,-2704224.637376378,-4288802.981958751,3856678.480561767,-2704225.3451338224,-4288801.954593498,3856676.713054478,-2704225.3451338224,-4288801.954593498,3856676.713054478,-2704220.204934732,-4288797.1604278665,3856671.2080886364,-2704220.204934732,-4288797.1604278665,3856671.2080886364
2021-01-04-US-SFO-1/GooglePixel4,1609797017437,37.44440324714386,-122.23273775670692,37.44439917904463,-122.23272911450255,37.44439917904463,-122.23272911450255,37.44439164912441,-122.2327085545126,37.44439164912441,-122.2327085545126,-2704225.3790400587,-4288800.487019019,3856677.0901540956,-2704225.9327734206,-4288802.799072366,3856678.2453151736,-2704225.9327734206,-4288802.799072366,3856678.2453151736,-2704220.261393731,-4288797.215635403,3856671.259502681,-2704220.261393731,-4288797.215635403,3856671.259502681
2021-01-04-US-SFO-1/GooglePixel4,1609797018437,37.44440105851898,-122.23273697627276,37.44439389641179,-122.23273691750133,37.44439389641179,-122.23273691750133,37.444391750099754,-122.23270885580416,37.444391750099754,-122.23270885580416,-2704225.288659688,-4288800.473163135,3856676.738313418,-2704225.2268261528,-4288800.384848395,3856675.6546516623,-2704225.2268261528,-4288800.384848395,3856675.6546516623,-2704220.3208313957,-4288797.259913308,3856671.326576682,-2704220.3208313957,-4288797.259913308,3856671.326576682
2021-01-04-US-SFO-1/GooglePixel4,1609797019437,37.444405124662275,-122.23273218732868,37.4444010045747,-122.23273211031798,37.4444010045747,-122.23273211031798,37.444391852432226,-122.23270900227061,37.444391852432226,-122.23270900227061,-2704224.1072684424,-4288799.394067532,3856676.12519135,-2704223.412862501,-4288798.305542458,3856674.5605031354,-2704223.412862501,-4288798.305542458,3856674.5605031354,-2704220.3492813483,-4288797.2807332715,3856671.365988454,-2704220.3492813483,-4288797.2807332715,3856671.365988454
2021-01-04-US-SFO-1/GooglePixel4,1609797020437,37.44441685942597,-122.23273876065937,37.444412147962794,-122.23274178309774,37.444412147962794,-122.23274178309774,37.44439187691444,-122.23270906182452,37.44439187691444,-122.23270906182452,-2704225.7527495683,-4288800.913139777,3856679.4216969465,-2704225.5379798026,-4288800.071061811,3856678.1298824013,-2704225.5379798026,-4288800.071061811,3856678.1298824013,-2704220.3652944095,-4288797.296248663,3856671.386001611,-2704220.3652944095,-4288797.296248663,3856671.386001611
2021-01-04-US-SFO-1/GooglePixel4,1609797021437,37.44446425116071,-122.23272221808358,37.444443194695594,-122.2327368482046,37.444443194695594,-122.2327368482046,37.44439195607622,-122.23270915939993,37.44439195607622,-122.23270915939993,-2704225.4225543975,-4288803.134088697,3856687.350450712,-2704226.2615252733,-4288802.037339848,3856684.0391656524,-2704226.2615252733,-4288802.037339848,3856684.0391656524,-2704220.410278326,-4288797.351402549,3856671.4511679322,-2704220.410278326,-4288797.351402549,3856671.4511679322
2021-01-04-US-SFO-1/GooglePixel4,1609797022437,37.44442966186153,-122.23272296581874,37.44443113975231,-122.23273218576642,37.44443113975231,-122.23273218576642,37.44439197161984,-122.23270921526118,37.44439197161984,-122.23270921526118,-2704224.6567029823,-4288801.795417316,3856681.3352093305,-2704224.5908922884,-4288800.161336258,3856680.456415947,-2704224.5908922884,-4288800.161336258,3856680.456415947,-2704220.4198919875,-4288797.357381387,3856671.4611402936,-2704220.4198919875,-4288797.357381387,3856671.4611402936
2021-01-04-US-SFO-1/GooglePixel4,1609797023437,37.44441746551602,-122.2327244893706,37.4444276944787,-122.2327280353679,37.4444276944787,-122.2327280353679,37.44439200422288,-122.2327091919995,37.44439200422288,-122.2327091919995,-2704223.2402857896,-4288799.2962545,3856677.432862499,-2704223.8568743416,-4288799.685815065,3856679.366966113,-2704223.8568743416,-4288799.685815065,3856679.366966113,-2704220.418474162,-4288797.3589921715,3856671.4661622294,-2704220.418474162,-4288797.3589921715,3856671.4661622294
2021-01-04-US-SFO-1/GooglePixel4,1609797024437,37.44442583040769,-122.23271445893181,37.444409590877996,-122.23272167245841,37.444409590877996,-122.23272167245841,37.44439199036967,-122.23270931983728,37.44439199036967,-122.23270931983728,-2704223.0742456014,-4288800.6970992135,3856679.44180891,-2704223.650346693,-4288800.413957973,3856677.223558278,-2704223.650346693,-4288800.413957973,3856677.223558278,-2704220.476812717,-4288797.430305132,3856671.5342478137,-2704220.476812717,-4288797.430305132,3856671.5342478137
2021-01-04-US-SFO-1/GooglePixel4,1609797025437,37.444423714027884,-122.23272580537068,37.44441589715872,-122.23272489121936,37.44441589715872,-122.23272489121936,37.444391870841926,-122.23270930131365,37.444391870841926,-122.23270930131365,-2704222.9045337625,-4288798.545422852,3856677.682847933,-2704222.897388417,-4288798.685759962,3856676.678106906,-2704222.897388417,-4288798.685759962,3856676.678106906,-2704220.464435225,-4288797.413748168,3856671.501758362,-2704220.464435225,-4288797.413748168,3856671.501758362
2021-01-04-US-SFO-1/GooglePixel4,1609797026437,37.44442865255431,-122.23272686522964,37.44440706256246,-122.23272724699372,37.44440706256246,-122.23272724699372,37.44439174322734,-122.23270918044699,37.44439174322734,-122.23270918044699,-2704221.7788111484,-4288796.584223948,3856676.6430129986,-2704222.751491229,-4288798.063519369,3856674.9804500705,-2704222.751491229,-4288798.063519369,3856674.9804500705,-2704220.4380175993,-4288797.391904076,3856671.458979062,-2704220.4380175993,-4288797.391904076,3856671.458979062
2021-01-04-US-SFO-1/GooglePixel4,1609797027437,37.44440028191068,-122.23272817761816,37.44439307706743,-122.23272374224464,37.44439307706743,-122.23272374224464,37.44439172617038,-122.23270918123026,37.44439172617038,-122.23270918123026,-2704223.705910208,-4288799.422790367,3856675.3028930994,-2704223.4520025696,-4288799.755987344,3856674.4078495526,-2704223.4520025696,-4288799.755987344,3856674.4078495526,-2704220.463368551,-4288797.431979829,3856671.492908844,-2704220.463368551,-4288797.431979829,3856671.492908844
2021-01-04-US-SFO-1/GooglePixel4,1609797028437,37.444406703122894,-122.23272398197018,37.44438917979732,-122.23272113530817,37.44438917979732,-122.23272113530817,37.44439165855757,-122.23270910332946,37.44439165855757,-122.23270910332946,-2704223.474535636,-4288799.751950431,3856676.31923883,-2704223.5780777005,-4288800.3884620955,3856674.3242381774,-2704223.5780777005,-4288800.3884620955,3856674.3242381774,-2704220.467013768,-4288797.45068575,3856671.4970631665,-2704220.467013768,-4288797.45068575,3856671.4970631665
2021-01-04-US-SFO-1/GooglePixel4,1609797029437,37.44441084587515,-122.2327056640213,37.444394040641036,-122.23270442312973,37.444394040641036,-122.23270442312973,37.44439160439363,-122.2327090361309,37.44439160439363,-122.2327090361309,-2704222.6974936984,-4288801.558773191,3856677.7513903272,-2704222.549315003,-4288801.529646958,3856675.3227789085,-2704222.549315003,-4288801.529646958,3856675.3227789085,-2704220.4562932076,-4288797.444832426,3856671.481321236,-2704220.4562932076,-4288797.444832426,3856671.481321236
2021-01-04-US-SFO-1/GooglePixel4,1609797030437,37.444402395457494,-122.23272210942366,37.44440462714695,-122.2327230166156,37.44440462714695,-122.2327230166156,37.44439162349346,-122.23270905771764,37.44439162349346,-122.23270905771764,-2704222.641565319,-4288798.74156926,3856674.722352966,-2704222.874114654,-4288798.95986931,3856675.2707137577,-2704222.874114654,-4288798.95986931,3856675.2707137577,-2704220.47184225,-4288797.465911135,3856671.5039962097,-2704220.47184225,-4288797.465911135,3856671.5039962097
2021-01-04-US-SFO-1/GooglePixel4,1609797031437,37.444401751765625,-122.2327212459667,37.444396129889185,-122.2327291076426,37.444396129889185,-122.2327291076426,37.44439159577458,-122.23270891063375,37.44439159577458,-122.23270891063375,-2704222.4748425097,-4288798.620411484,3856674.4857920613,-2704223.3696092265,-4288798.735126448,3856674.139671053,-2704223.3696092265,-4288798.735126448,3856674.139671053,-2704220.4825230357,-4288797.507253574,3856671.5312642027,-2704220.4825230357,-4288797.507253574,3856671.5312642027
2021-01-04-US-SFO-1/GooglePixel4,1609797032437,37.44440325689813,-122.23270860669166,37.44438661944629,-122.23271172065239,37.44438661944629,-122.23271172065239,37.44439144630803,-122.2327087571156,37.44439144630803,-122.2327087571156,-2704222.3431678107,-4288800.508597922,3856675.865525798,-2704222.645542226,-4288800.4715068,3856673.6392339007,-2704222.645542226,-4288800.4715068,3856673.6392339007,-2704220.488572867,-4288797.542319013,3856671.535555456,-2704220.488572867,-4288797.542319013,3856671.535555456
