tripId,UnixTimeMillis,LatitudeDegrees,LongitudeDegrees,LatitudeDegrees_bl,LongitudeDegrees_bl,LatitudeDegrees_wls,LongitudeDegrees_wls
2021-01-04-US-SFO-1/GooglePixel4,1609797013437,37.44439159071256,-122.2327080342922,37.44438728865839,-122.232743803427,37.44440010656595,-122.23273786673573
2021-01-04-US-SFO-1/GooglePixel4,1609797014437,37.44439158406636,-122.23270801371895,37.444394775993906,-122.23271621156844,37.444385023627774,-122.23272450618038
2021-01-04-US-SFO-1/GooglePixel4,1609797015437,37.444391792844996,-122.23270825179405,37.444424677313634,-122.23273088960119,37.444424652680055,-122.23272999805718
2021-01-04-US-SFO-1/GooglePixel4,1609797016437,37.444391702116405,-122.23270834756991,37.444403799289674,-122.23271562948385,37.44439384810978,-122.232728587142
2021-01-04-US-SFO-1/GooglePixel4,1609797017437,37.44439164912441,-122.2327085545126,37.44440324714386,-122.23273775670692,37.44439917904463,-122.23272911450255
2021-01-04-US-SFO-1/GooglePixel4,1609797018437,37.444391750099754,-122.23270885580416,37.44440105851898,-122.23273697627276,37.44439389641179,-122.23273691750133
2021-01-04-US-SFO-1/GooglePixel4,1609797019437,37.444391852432226,-122.23270900227061,37.444405124662275,-122.23273218732868,37.4444010045747,-122.23273211031798
2021-01-04-US-SFO-1/GooglePixel4,1609797020437,37.44439187691444,-122.23270906182452,37.44441685942597,-122.23273876065937,37.444412147962794,-122.23274178309774
2021-01-04-US-SFO-1/GooglePixel4,1609797021437,37.44439195607622,-122.23270915939993,37.44446425116071,-122.23272221808358,37.444443194695594,-122.2327368482046
2021-01-04-US-SFO-1/GooglePixel4,1609797022437,37.44439197161984,-122.23270921526118,37.44442966186153,-122.23272296581874,37.44443113975231,-122.23273218576642
2021-01-04-US-SFO-1/GooglePixel4,1609797023437,37.44439200422288,-122.2327091919995,37.44441746551602,-122.2327244893706,37.4444276944787,-122.2327280353679
2021-01-04-US-SFO-1/GooglePixel4,1609797024437,37.44439199036967,-122.23270931983728,37.44442583040769,-122.23271445893181,37.444409590877996,-122.23272167245841
2021-01-04-US-SFO-1/GooglePixel4,1609797025437,37.444391870841926,-122.23270930131365,37.444423714027884,-122.23272580537068,37.44441589715872,-122.23272489121936
2021-01-04-US-SFO-1/GooglePixel4,1609797026437,37.44439174322734,-122.23270918044699,37.44442865255431,-122.23272686522964,37.44440706256246,-122.23272724699372
2021-01-04-US-SFO-1/GooglePixel4,1609797027437,37.44439172617038,-122.23270918123026,37.44440028191068,-122.23272817761816,37.44439307706743,-122.23272374224464
2021-01-04-US-SFO-1/GooglePixel4,1609797028437,37.44439165855757,-122.23270910332946,37.444406703122894,-122.23272398197018,37.44438917979732,-122.23272113530817
2021-01-04-US-SFO-1/GooglePixel4,1609797029437,37.44439160439363,-122.2327090361309,37.44441084587515,-122.2327056640213,37.444394040641036,-122.23270442312973
2021-01-04-US-SFO-1/GooglePixel4,1609797030437,37.44439162349346,-122.23270905771764,37.444402395457494,-122.23272210942366,37.44440462714695,-122.2327230166156
2021-01-04-US-SFO-1/GooglePixel4,1609797031437,37.44439159577458,-122.23270891063375,37.444401751765625,-122.2327212459667,37.444396129889185,-122.2327291076426
2021-01-04-US-SFO-1/GooglePixel4,1609797032437,37.44439144630803,-122.2327087571156,37.44440325689813,-122.23270860669166,37.44438661944629,-122.23271172065239
2021-01-04-US-SFO-1/GooglePixel4,1609797033437,37.444391315393005,-122.2327088521296,37.444394741974705,-122.23270801444289,37.44437427599888,-122.23271124296622
2021-01-04-US-SFO-1/GooglePixel4,1609797034437,37.444391365660685,-122.23270894028391,37.444414048998674,-122.23272709258627,37.44440623770518,-122.23272041230565
2021-01-04-US-SFO-1/GooglePixel4,1609797035437,37.44439133513582,-122.23270878499996,37.44440544038177,-122.23272445419192,37.44440727562269,-122.23271835839722
2021-01-04-US-SFO-1/GooglePixel4,1609797036437,37.44439124296476,-122.23270881979661,37.44440220014806,-122.23271131338223,37.44439958197016,-122.2327134278857
2021-01-04-US-SFO-1/GooglePixel4,1609797037437,37.44439116344708,-122.23270886067229,37.44441857365781,-122.2327136855069,37.444398145180095,-122.23271604657037
2021-01-04-US-SFO-1/GooglePixel4,1609797038437,37.44439110072497,-122.23270874358076,37.44438938304763,-122.23272396502875,37.44438743141097,-122.23272239857307
2021-01-04-US-SFO-1/GooglePixel4,1609797039437,37.44439106288044,-122.23270867672986,37.44440465026299,-122.23272371037862,37.44439544597883,-122.23271988419756
2021-01-04-US-SFO-1/GooglePixel4,1609797040437,37.44439105697887,-122.23270869242931,37.444389773459285,-122.2327128002022,37.44438736635913,-122.23272751394799
